"","race","education_num","tot_in_race","tot_race","perc_of_race","tot_group","tot","perc","index"
"1","Amer_Indian_Eskimo",2,536894,37321485,0.0143856548044645,39810916,6101539186,0.00652473331505373,2.20478816678595
"2","Amer_Indian_Eskimo",3,393127,37321485,0.0105335304851884,76894216,6101539186,0.0126024292651326,0.835833335270658
"3","Amer_Indian_Eskimo",4,1288788,37321485,0.0345320664491244,121084466,6101539186,0.0198449050819552,1.74009733513536
"4","Amer_Indian_Eskimo",5,588767,37321485,0.0157755512675876,99882492,6101539186,0.0163700484345295,0.963683848015501
"5","Amer_Indian_Eskimo",6,1873973,37321485,0.0502116408283325,157823285,6101539186,0.0258661429827618,1.94121098231752
"6","Amer_Indian_Eskimo",7,1400915,37321485,0.0375364217152667,195075111,6101539186,0.0319714591766616,1.17406032386121
"7","Amer_Indian_Eskimo",8,419886,37321485,0.0112505169609409,79595445,6101539186,0.0130451419836214,0.862429628981135
"8","Amer_Indian_Eskimo",9,14082962,37321485,0.377341951961451,1987430678,6101539186,0.325726118839024,1.15846390613807
"9","Amer_Indian_Eskimo",10,9402508,37321485,0.251932847795311,1374313148,6101539186,0.225240403463009,1.11850646652161
"10","Amer_Indian_Eskimo",11,2390551,37321485,0.0640529443027254,251435575,6101539186,0.0412085487506037,1.55436059372964
"11","Amer_Indian_Eskimo",12,912426,37321485,0.024447741026382,206383508,6101539186,0.0338248270983078,0.722775047905715
"12","Amer_Indian_Eskimo",13,2743337,37321485,0.073505569245168,1006363531,6101539186,0.164936010459312,0.445661132705165
"13","Amer_Indian_Eskimo",14,680224,37321485,0.0182260700505352,309610942,6101539186,0.0507430883522642,0.359183302443238
"14","Amer_Indian_Eskimo",15,404065,37321485,0.0108266056401561,106942295,6101539186,0.0175271012346162,0.617706573108244
"15","Amer_Indian_Eskimo",16,203062,37321485,0.00544088746736632,77106588,6101539186,0.0126372355645804,0.430544120156787
"16","Asian_Pac_Islander",1,1047036,165817059,0.00631440459934825,11786990,6101539186,0.00193180599856595,3.26865358324576
"17","Asian_Pac_Islander",2,799857,165817059,0.00482373167648571,39810916,6101539186,0.00652473331505373,0.73929943854663
"18","Asian_Pac_Islander",3,1836205,165817059,0.011073679699023,76894216,6101539186,0.0126024292651326,0.878694056999054
"19","Asian_Pac_Islander",4,1450355,165817059,0.00874671767034537,121084466,6101539186,0.0198449050819552,0.440753817376466
"20","Asian_Pac_Islander",5,1495792,165817059,0.0090207365214456,99882492,6101539186,0.0163700484345295,0.551051303087048
"21","Asian_Pac_Islander",6,2343915,165817059,0.014135548019821,157823285,6101539186,0.0258661429827618,0.546488435838367
"22","Asian_Pac_Islander",7,2956206,165817059,0.0178281174315123,195075111,6101539186,0.0319714591766616,0.557626016785821
"23","Asian_Pac_Islander",8,1425734,165817059,0.00859823475701616,79595445,6101539186,0.0130451419836214,0.659113926687153
"24","Asian_Pac_Islander",9,32690300,165817059,0.197146784517509,1987430678,6101539186,0.325726118839024,0.605253226914049
"25","Asian_Pac_Islander",10,34139308,165817059,0.205885378777584,1374313148,6101539186,0.225240403463009,0.914069481372583
"26","Asian_Pac_Islander",11,5369275,165817059,0.0323807154244606,251435575,6101539186,0.0412085487506037,0.785776650869954
"27","Asian_Pac_Islander",12,5480292,165817059,0.0330502303746685,206383508,6101539186,0.0338248270983078,0.977099758074503
"28","Asian_Pac_Islander",13,48971726,165817059,0.295335873735404,1006363531,6101539186,0.164936010459312,1.79060881194443
"29","Asian_Pac_Islander",14,14037122,165817059,0.0846542694982909,309610942,6101539186,0.0507430883522642,1.66829162842063
"30","Asian_Pac_Islander",15,6601906,165817059,0.0398143956949568,106942295,6101539186,0.0175271012346162,2.27159044510583
"31","Asian_Pac_Islander",16,5172030,165817059,0.0311911816021294,77106588,6101539186,0.0126372355645804,2.46819658007737
"32","Black",1,1064391,704944698,0.00150989290793985,11786990,6101539186,0.00193180599856595,0.78159655216968
"33","Black",2,2824508,704944698,0.00400670862269539,39810916,6101539186,0.00652473331505373,0.614080059556028
"34","Black",3,4310457,704944698,0.00611460304933026,76894216,6101539186,0.0126024292651326,0.485192411771565
"35","Black",4,12066183,704944698,0.0171164958531258,121084466,6101539186,0.0198449050819552,0.862513364636331
"36","Black",5,16859676,704944698,0.0239163100989803,99882492,6101539186,0.0163700484345295,1.46097980067874
"37","Black",6,26476031,704944698,0.0375576000147461,157823285,6101539186,0.0258661429827618,1.45199846918715
"38","Black",7,32088361,704944698,0.0455189762984784,195075111,6101539186,0.0319714591766616,1.42373784214723
"39","Black",8,18260876,704944698,0.0259039837476726,79595445,6101539186,0.0130451419836214,1.98571880476241
"40","Black",9,269788856,704944698,0.382709249059421,1987430678,6101539186,0.325726118839024,1.17494185121997
"41","Black",10,170921565,704944698,0.242460955426606,1374313148,6101539186,0.225240403463009,1.0764540983715
"42","Black",11,25292226,704944698,0.0358783122587582,251435575,6101539186,0.0412085487506037,0.870652166760242
"43","Black",12,22310399,704944698,0.0316484386126981,206383508,6101539186,0.0338248270983078,0.935657069900628
"44","Black",13,79398010,704944698,0.112630125774774,1006363531,6101539186,0.164936010459312,0.682871651018613
"45","Black",14,18704689,704944698,0.026533555118674,309610942,6101539186,0.0507430883522642,0.522899886078575
"46","Black",15,2673465,704944698,0.00379244642535066,106942295,6101539186,0.0175271012346162,0.216376135139822
"47","Black",16,1905005,704944698,0.00270234673075022,77106588,6101539186,0.0126372355645804,0.21384002196844
"48","Other",1,648675,51959734,0.0124841863124242,11786990,6101539186,0.00193180599856595,6.4624430826344
"49","Other",2,2026916,51959734,0.0390093605944942,39810916,6101539186,0.00652473331505373,5.97869042470941
"50","Other",3,3007277,51959734,0.0578770668841376,76894216,6101539186,0.0126024292651326,4.5925325718167
"51","Other",4,3147927,51959734,0.0605839706569706,121084466,6101539186,0.0198449050819552,3.05287278557252
"52","Other",5,1643281,51959734,0.0316260472003186,99882492,6101539186,0.0163700484345295,1.93194585384423
"53","Other",6,1544864,51959734,0.0297319458948731,157823285,6101539186,0.0258661429827618,1.1494541692856
"54","Other",7,1326806,51959734,0.0255352731405438,195075111,6101539186,0.0319714591766616,0.798689637512195
"55","Other",8,2605932,51959734,0.0501529126380824,79595445,6101539186,0.0130451419836214,3.84456625317309
"56","Other",9,15852257,51959734,0.305087339361668,1987430678,6101539186,0.325726118839024,0.936637628106341
"57","Other",10,10345813,51959734,0.199112124015108,1374313148,6101539186,0.225240403463009,0.883998256768384
"58","Other",11,912941,51959734,0.0175701630805115,251435575,6101539186,0.0412085487506037,0.426371799377044
"59","Other",12,1228736,51959734,0.0236478500832972,206383508,6101539186,0.0338248270983078,0.699127005573969
"60","Other",13,5644592,51959734,0.108633966447942,1006363531,6101539186,0.164936010459312,0.658643107380973
"61","Other",14,1138222,51959734,0.0219058473240067,309610942,6101539186,0.0507430883522642,0.431701105221146
"62","Other",15,591406,51959734,0.0113820059201997,106942295,6101539186,0.0175271012346162,0.649394658468684
"63","Other",16,294089,51959734,0.0056599404454226,77106588,6101539186,0.0126372355645804,0.447878051849115
"64","White",1,9026888,5141496210,0.00175569282389882,11786990,6101539186,0.00193180599856595,0.908834958169785
"65","White",2,33622741,5141496210,0.00653948571130037,39810916,6101539186,0.00652473331505373,1.00226099604908
"66","White",3,67347150,5141496210,0.0130987454330925,76894216,6101539186,0.0126024292651326,1.03938257914552
"67","White",4,103131213,5141496210,0.020058599440259,121084466,6101539186,0.0198449050819552,1.01076822274641
"68","White",5,79294976,5141496210,0.0154225487603734,99882492,6101539186,0.0163700484345295,0.942119922372521
"69","White",6,125584502,5141496210,0.0244256723861321,157823285,6101539186,0.0258661429827618,0.94431057627766
"70","White",7,157302823,5141496210,0.0305947561906304,195075111,6101539186,0.0319714591766616,0.956939626107644
"71","White",8,56883017,5141496210,0.0110635143305882,79595445,6101539186,0.0130451419836214,0.848094589118216
"72","White",9,1655016303,5141496210,0.321893907026725,1987430678,6101539186,0.325726118839024,0.988234864843022
"73","White",10,1149503954,5141496210,0.223573821130951,1374313148,6101539186,0.225240403463009,0.992600873083002
"74","White",11,217470582,5141496210,0.0422971394157655,251435575,6101539186,0.0412085487506037,1.02641662223414
"75","White",12,176451655,5141496210,0.03431912575503,206383508,6101539186,0.0338248270983078,1.01461348657557
"76","White",13,869605866,5141496210,0.169134786933938,1006363531,6101539186,0.164936010459312,1.02545700276691
"77","White",14,275050685,5141496210,0.0534962341244243,309610942,6101539186,0.0507430883522642,1.05425656698401
"78","White",15,96671453,5141496210,0.0188022025207328,106942295,6101539186,0.0175271012346162,1.07275026651858
"79","White",16,69532402,5141496210,0.0135237680161589,77106588,6101539186,0.0126372355645804,1.07015240374748
